Date,Open,High,Low,Close,Volume,Adj Close
2014-07-09,77.199997,77.589996,76.900002,76.970001,000,76.970001
2014-07-08,77.830002,77.830002,76.769997,76.879997,000,76.879997
2014-07-07,78.629997,78.650002,77.989998,78.010002,000,78.010002
2014-07-03,77.980003,79.010002,77.980003,78.93,000,78.93
2014-07-02,78.330002,78.68,77.510002,77.589996,000,77.589996
2014-07-01,77.550003,79.370003,77.550003,78.419998,000,78.419998
2014-06-30,77.190002,77.440002,76.650002,77.419998,000,77.419998
2014-06-27,76.620003,77.389999,76.610001,77.309998,000,77.309998
2014-06-26,76.940002,77.139999,75.93,77.07,000,77.07
2014-06-25,76.099998,77.040001,75.269997,76.980003,000,76.980003
2014-06-24,76.900002,77.889999,76.43,76.440002,000,76.440002
2014-06-23,77.510002,77.589996,76.900002,77.050003,000,77.050003
2014-06-20,77.379997,77.809998,77.139999,77.459999,000,77.459999
2014-06-19,77.68,77.68,76.800003,77.199997,000,77.199997
2014-06-18,77.160004,77.769997,76.650002,77.620003,000,77.620003
2014-06-17,75.669998,77.580002,75.660004,77.160004,000,77.160004
2014-06-16,76.209999,76.220001,75.339996,75.730003,000,75.730003
2014-06-13,76.769997,77.309998,76.080002,76.279999,000,76.279999
2014-06-12,76.589996,76.93,76.129997,76.510002,000,76.510002
2014-06-11,77.239998,77.300003,76.57,76.769997,000,76.769997
2014-06-10,77.610001,77.82,77.300003,77.68,000,77.68
2014-06-09,76.610001,77.949997,76.589996,77.940002,000,77.940002
2014-06-06,76.199997,77.019997,75.989998,76.709999,000,76.709999
2014-06-05,74.269997,76.010002,73.980003,75.849998,000,75.849998
2014-06-04,73.870003,74.370003,73.860001,74.209999,000,74.209999
2014-06-03,73.480003,74.50,73.440002,74.080002,000,74.080002
2014-06-02,73.019997,73.849998,72.370003,73.720001,000,73.720001
